Pixel;Row;Correction Value Signed;Correction Value Unsigned
2016;3;0;0
2015;2;0;0
2014;0;0;0
2013;3;0;0
2012;1;0;0
2011;2;0;0
2010;0;0;0
2009;3;0;0
2008;1;0;0
2007;2;0;0
2006;0;0;0
2005;3;0;0
2004;1;0;0
2003;2;0;0
2002;0;0;0
2001;3;0;0
2000;1;0;0
1999;2;0;0
1998;0;0;0
1997;3;0;0
1996;1;0;0
1995;2;0;0
1994;0;0;0
1993;3;0;0
1992;1;0;0
1991;2;0;0
1990;0;0;0
1989;3;0;0
1988;1;0;0
1987;2;0;0
1986;0;0;0
1985;3;0;0
1984;1;0;0
1983;2;0;0
1982;0;0;0
1981;3;0;0
1980;1;0;0
1979;2;0;0
1978;0;0;0
1977;3;0;0
1976;1;0;0
1975;2;0;0
1974;0;0;0
1973;3;0;0
1972;1;0;0
1971;2;0;0
1970;0;0;0
1969;3;0;0
1968;1;0;0
1967;2;0;0
1966;0;0;0
1965;3;0;0
1964;1;0;0
1963;2;0;0
1962;0;0;0
1961;3;0;0
1960;1;0;0
1959;2;0;0
1958;0;0;0
1957;3;0;0
1956;1;0;0
1955;2;0;0
1954;0;0;0
1953;3;0;0
1952;1;0;0
1951;2;0;0
1950;0;0;0
1949;3;0;0
1948;1;0;0
1947;2;0;0
1946;0;0;0
1945;3;0;0
1944;1;0;0
1943;2;0;0
1942;0;0;0
1941;3;0;0
1940;1;0;0
1939;2;0;0
1938;0;0;0
1937;3;0;0
1936;1;0;0
1935;2;0;0
1934;0;0;0
1933;3;0;0
1932;1;0;0
1931;2;0;0
1930;0;0;0
1929;3;0;0
1928;1;0;0
1927;2;0;0
1926;0;0;0
1925;3;0;0
1924;1;0;0
1923;2;0;0
1922;0;0;0
1921;3;0;0
1920;1;0;0
1919;2;0;0
1918;0;0;0
1917;3;0;0
1916;1;0;0
1915;2;0;0
1914;0;0;0
1913;3;0;0
1912;1;0;0
1911;2;0;0
1910;0;0;0
1909;3;0;0
1908;1;0;0
1907;2;0;0
1906;0;0;0
1905;3;0;0
1904;1;0;0
1903;2;0;0
1902;0;0;0
1901;3;0;0
1900;1;0;0
1899;2;0;0
1898;0;0;0
1897;3;0;0
1896;1;0;0
1895;2;0;0
1894;0;0;0
1893;3;0;0
1892;1;0;0
1891;2;0;0
1890;0;0;0
1889;3;0;0
1888;1;0;0
1887;2;0;0
1886;0;0;0
