Pixel;Row;Correction Value Signed;Correction Value Unsigned
2016;3;0;0
2015;2;0;0
2014;2;0;0
2013;1;0;0
2012;3;0;0
2011;0;0;0
2010;2;0;0
2009;1;0;0
2008;3;0;0
2007;0;0;0
2006;2;0;0
2005;1;0;0
2004;3;0;0
2003;0;0;0
2002;2;0;0
2001;1;0;0
2000;3;0;0
1999;0;0;0
1998;2;0;0
1997;1;0;0
1996;3;0;0
1995;0;0;0
1994;2;0;0
1993;1;0;0
1992;3;0;0
1991;0;0;0
1990;2;0;0
1989;1;0;0
1988;3;0;0
1987;0;0;0
1986;2;0;0
1985;1;0;0
1984;3;0;0
1983;0;0;0
1982;2;0;0
1981;1;0;0
1980;3;0;0
1979;0;0;0
1978;2;0;0
1977;1;0;0
1976;3;0;0
1975;0;0;0
1974;2;0;0
1973;1;0;0
1972;3;0;0
1971;0;0;0
1970;2;0;0
1969;1;0;0
1968;3;0;0
1967;0;0;0
1966;2;0;0
1965;1;0;0
1964;3;0;0
1963;0;0;0
1962;2;0;0
1961;1;0;0
1960;3;0;0
1959;0;0;0
1958;2;0;0
1957;1;0;0
1956;3;0;0
1955;0;0;0
1954;2;0;0
1953;1;0;0
1952;3;0;0
1951;0;0;0
1950;2;0;0
1949;1;0;0
1948;3;0;0
1947;0;0;0
1946;2;0;0
1945;1;0;0
1944;3;0;0
1943;0;0;0
1942;2;0;0
1941;1;0;0
1940;3;0;0
1939;0;0;0
1938;2;0;0
1937;1;0;0
1936;3;0;0
1935;0;0;0
1934;2;0;0
1933;1;0;0
1932;3;0;0
1931;0;0;0
1930;2;0;0
1929;1;0;0
1928;3;0;0
1927;0;0;0
1926;2;0;0
1925;1;0;0
1924;3;0;0
1923;0;0;0
1922;2;0;0
1921;1;0;0
1920;3;0;0
1919;0;0;0
1918;2;0;0
1917;1;0;0
1916;3;0;0
1915;0;0;0
1914;2;0;0
1913;1;0;0
1912;3;0;0
1911;0;0;0
1910;2;0;0
1909;1;0;0
1908;3;0;0
1907;0;0;0
1906;2;0;0
1905;1;0;0
1904;3;0;0
1903;0;0;0
1902;2;0;0
1901;1;0;0
1900;3;0;0
1899;0;0;0
1898;2;0;0
1897;1;0;0
1896;3;0;0
1895;0;0;0
1894;2;0;0
1893;1;0;0
1892;3;0;0
1891;0;0;0
1890;2;0;0
1889;1;0;0
1888;3;0;0
1887;0;0;0
1886;2;0;0
