TR Period,TR Start Date,TR End Date,Country/Region,Account Requests Received,Accounts Specified in Requests,Requests Challenged in Part or Rejected in Full,Requests where Only Non-Content Data Provided,Requests where Content Data Provided,Percentage of Requests where Data Provided
2014 H1,1/1/14,6/30/14,Italy,22,22,12,9,0,41%
2014 H1,1/1/14,6/30/14,Japan,64,142,63,7,0,11%
2014 H1,1/1/14,6/30/14,Malaysia,2,2,0,1,0,50%
2014 H1,1/1/14,6/30/14,Mexico,1,1,1,0,0,0%
2014 H1,1/1/14,6/30/14,Netherlands,6,7,2,2,0,33%
2014 H1,1/1/14,6/30/14,New Zealand,4,4,3,1,0,25%
2014 H1,1/1/14,6/30/14,Norway,2,2,0,1,0,50%
2014 H1,1/1/14,6/30/14,Poland,3,3,1,2,0,67%
2014 H1,1/1/14,6/30/14,Russia,1,1,1,0,0,0%
2014 H1,1/1/14,6/30/14,Singapore,24,24,22,5,0,21%
2014 H1,1/1/14,6/30/14,South Korea,10,10,5,3,0,30%
2014 H1,1/1/14,6/30/14,Spain,10,11,6,3,0,30%
2014 H1,1/1/14,6/30/14,Sweden,13,23,5,5,0,38%
2014 H1,1/1/14,6/30/14,Switzerland,6,6,2,3,0,50%
2014 H1,1/1/14,6/30/14,Taiwan,7,7,6,1,0,14%
2014 H1,1/1/14,6/30/14,Turkey,3,3,1,2,0,67%
2014 H1,1/1/14,6/30/14,United Kingdom,179,220,88,76,1,43%
2014 H1,1/1/14,6/30/14,United States of America,789,1739,86,449,155,77%
2014 H2,7/1/14,12/31/14,Argentina,1,2,0,0,0,0%
2014 H2,7/1/14,12/31/14,Australia,82,93,59,25,0,30%
2014 H2,7/1/14,12/31/14,Austria,4,4,0,4,0,100%
2014 H2,7/1/14,12/31/14,Belgium,5,5,1,1,0,20%
2014 H2,7/1/14,12/31/14,Brazil,3,3,0,1,0,33%
2014 H2,7/1/14,12/31/14,Canada,7,9,1,4,0,57%
2014 H2,7/1/14,12/31/14,China,31,39,16,10,0,32%
2014 H2,7/1/14,12/31/14,Czech Republic,1,1,1,0,0,0%
2014 H2,7/1/14,12/31/14,Denmark,6,6,1,3,0,50%
2014 H2,7/1/14,12/31/14,France,43,43,20,11,0,26%
2014 H2,7/1/14,12/31/14,Germany,84,90,37,35,0,42%
2014 H2,7/1/14,12/31/14,Hong Kong,34,67,8,26,0,76%
2014 H2,7/1/14,12/31/14,India,4,4,2,1,0,25%
2014 H2,7/1/14,12/31/14,Ireland,1,1,0,0,1,100%
2014 H2,7/1/14,12/31/14,Italy,20,20,10,8,0,40%
2014 H2,7/1/14,12/31/14,Japan,73,438,34,44,0,60%
2014 H2,7/1/14,12/31/14,Luxembourg,9,9,1,4,0,44%
2014 H2,7/1/14,12/31/14,Malaysia,1,1,0,0,1,100%
2014 H2,7/1/14,12/31/14,Malta,1,1,0,1,0,100%
2014 H2,7/1/14,12/31/14,Netherlands,5,5,1,1,1,40%
2014 H2,7/1/14,12/31/14,New Zealand,3,3,2,1,0,33%
2014 H2,7/1/14,12/31/14,Norway,5,5,4,1,0,20%
2014 H2,7/1/14,12/31/14,Poland,1,1,1,0,0,0%
2014 H2,7/1/14,12/31/14,Portugal,1,1,0,1,0,100%
2014 H2,7/1/14,12/31/14,Singapore,24,167,9,19,0,79%
2014 H2,7/1/14,12/31/14,South Korea,21,24,15,3,0,14%
2014 H2,7/1/14,12/31/14,Spain,19,20,12,5,0,26%
2014 H2,7/1/14,12/31/14,Sweden,6,8,4,2,0,33%
2014 H2,7/1/14,12/31/14,Switzerland,3,3,0,1,0,33%
2014 H2,7/1/14,12/31/14,Taiwan,6,12,2,4,0,67%
2014 H2,7/1/14,12/31/14,Turkey,6,6,4,2,0,33%
2014 H2,7/1/14,12/31/14,United Kingdom,127,152,35,67,0,53%
2014 H2,7/1/14,12/31/14,United States of America,788,5267,75,445,188,80%
2015 H1,1/1/15,6/30/15,Australia,98,108,75,12,0,12%
2015 H1,1/1/15,6/30/15,Austria,7,7,1,4,0,57%
2015 H1,1/1/15,6/30/15,Belarus,2,2,0,2,0,100%
2015 H1,1/1/15,6/30/15,Belgium,1,1,0,1,0,100%
2015 H1,1/1/15,6/30/15,Brazil,4,4,0,3,0,75%
2015 H1,1/1/15,6/30/15,Canada,8,9,2,7,1,100%
2015 H1,1/1/15,6/30/15,China,24,85,14,7,0,29%
2015 H1,1/1/15,6/30/15,Colombia,1,1,0,1,0,100%
2015 H1,1/1/15,6/30/15,Cyprus,2,2,1,1,0,50%
2015 H1,1/1/15,6/30/15,Denmark,3,3,0,1,0,33%
2015 H1,1/1/15,6/30/15,France,43,51,13,20,1,49%
2015 H1,1/1/15,6/30/15,Germany,78,91,29,33,0,42%
2015 H1,1/1/15,6/30/15,Greece,5,5,1,4,0,80%
2015 H1,1/1/15,6/30/15,Hong Kong,14,50,3,11,0,79%
2015 H1,1/1/15,6/30/15,Hungary,3,3,3,0,0,0%
2015 H1,1/1/15,6/30/15,India,1,1,0,0,0,0%
2015 H1,1/1/15,6/30/15,Ireland,4,4,1,0,0,0%
2015 H1,1/1/15,6/30/15,Italy,29,32,8,14,0,48%
2015 H1,1/1/15,6/30/15,Japan,51,879,33,20,0,39%
2015 H1,1/1/15,6/30/15,Malta,2,2,0,2,0,100%
2015 H1,1/1/15,6/30/15,Netherlands,3,3,2,1,0,33%
2015 H1,1/1/15,6/30/15,New Zealand,4,4,2,1,0,25%
2015 H1,1/1/15,6/30/15,Norway,3,5,0,2,0,67%
2015 H1,1/1/15,6/30/15,Pakistan,2,2,0,1,0,50%
2015 H1,1/1/15,6/30/15,Portugal,2,3,0,2,0,100%
2015 H1,1/1/15,6/30/15,Romania,1,1,1,0,0,0%
2015 H1,1/1/15,6/30/15,Russia,3,3,3,0,0,0%
2015 H1,1/1/15,6/30/15,Singapore,26,41,14,9,0,35%
2015 H1,1/1/15,6/30/15,South Korea,17,57,10,7,0,41%
2015 H1,1/1/15,6/30/15,Spain,19,24,5,10,0,53%
2015 H1,1/1/15,6/30/15,Sweden,5,5,1,1,0,20%
2015 H1,1/1/15,6/30/15,Switzerland,5,5,3,1,0,20%
2015 H1,1/1/15,6/30/15,Taiwan,13,13,8,7,0,54%
2015 H1,1/1/15,6/30/15,Turkey,6,7,5,0,0,0%
2015 H1,1/1/15,6/30/15,United Kingdom,207,232,47,130,0,63%
2015 H1,1/1/15,6/30/15,United States of America,971,2727,116,495,295,81%
2015 H2,7/1/15,12/31/15,Australia,91,116,51,30,0,33%
2015 H2,7/1/15,12/31/15,Austria,12,12,3,8,0,67%
2015 H2,7/1/15,12/31/15,Belgium,6,8,2,3,0,50%
2015 H2,7/1/15,12/31/15,Brazil,32,63,4,13,18,97%
2015 H2,7/1/15,12/31/15,Canada,6,9,2,6,0,100%
2015 H2,7/1/15,12/31/15,China,32,6724,9,17,0,53%
2015 H2,7/1/15,12/31/15,Cyprus,1,1,0,0,0,0%
2015 H2,7/1/15,12/31/15,Czech Republic,5,5,3,1,0,20%
2015 H2,7/1/15,12/31/15,Denmark,4,4,3,1,0,25%
2015 H2,7/1/15,12/31/15,Dominican Republic,1,1,0,1,0,100%
2015 H2,7/1/15,12/31/15,Finland,3,3,1,2,0,67%
2015 H2,7/1/15,12/31/15,France,60,65,25,18,0,30%
2015 H2,7/1/15,12/31/15,Germany,130,150,41,68,0,52%
2015 H2,7/1/15,12/31/15,Hong Kong,13,15,0,7,0,54%
2015 H2,7/1/15,12/31/15,India,3,5,0,2,0,67%
2015 H2,7/1/15,12/31/15,Ireland,8,8,2,5,0,63%
2015 H2,7/1/15,12/31/15,Italy,26,31,12,7,0,27%
2015 H2,7/1/15,12/31/15,Japan,55,67,30,27,0,49%
2015 H2,7/1/15,12/31/15,Kuwait,1,1,1,0,0,0%
2015 H2,7/1/15,12/31/15,Luxembourg,2,2,0,1,0,50%
2015 H2,7/1/15,12/31/15,Malta,1,1,1,0,0,0%
2015 H2,7/1/15,12/31/15,Netherlands,13,13,1,5,0,38%
2015 H2,7/1/15,12/31/15,New Zealand,6,9,5,0,0,0%
2015 H2,7/1/15,12/31/15,Norway,5,6,1,3,0,60%
2015 H2,7/1/15,12/31/15,Portugal,7,8,2,4,0,57%
2015 H2,7/1/15,12/31/15,Russia,3,3,3,0,0,0%
2015 H2,7/1/15,12/31/15,Singapore,15,24,4,11,0,73%
2015 H2,7/1/15,12/31/15,South Korea,6,8,4,2,0,33%
2015 H2,7/1/15,12/31/15,Spain,21,21,5,10,0,48%
2015 H2,7/1/15,12/31/15,Sweden,6,6,3,2,0,33%
2015 H2,7/1/15,12/31/15,Switzerland,8,8,4,3,0,38%
2015 H2,7/1/15,12/31/15,Taiwan,5,10,0,3,0,60%
2015 H2,7/1/15,12/31/15,Turkey,3,3,0,2,0,67%
2015 H2,7/1/15,12/31/15,United Kingdom,208,248,45,121,0,58%
2015 H2,7/1/15,12/31/15,United States of America,1015,5192,116,509,322,82%
2016 H1,1/1/16,6/30/16,Argentina,1,1,0,1,0,100%
2016 H1,1/1/16,6/30/16,Australia,108,113,49,55,0,51%
2016 H1,1/1/16,6/30/16,Austria,5,6,3,2,0,40%
2016 H1,1/1/16,6/30/16,Belarus,1,1,0,1,0,100%
2016 H1,1/1/16,6/30/16,Belgium,2,2,0,2,0,100%
2016 H1,1/1/16,6/30/16,Brazil,33,134,3,9,20,88%
2016 H1,1/1/16,6/30/16,Canada,2,2,0,2,0,100%
2016 H1,1/1/16,6/30/16,Chile,1,1,0,1,0,100%
2016 H1,1/1/16,6/30/16,China,31,1560,2,27,0,87%
2016 H1,1/1/16,6/30/16,Czech Republic,2,2,1,1,0,50%
2016 H1,1/1/16,6/30/16,Denmark,1,1,0,1,0,100%
2016 H1,1/1/16,6/30/16,Estonia,3,3,0,3,0,100%
2016 H1,1/1/16,6/30/16,Finland,2,2,1,1,0,50%
2016 H1,1/1/16,6/30/16,France,75,117,29,35,0,47%
2016 H1,1/1/16,6/30/16,Germany,203,244,74,106,0,52%
2016 H1,1/1/16,6/30/16,Greece,1,1,0,1,0,100%
2016 H1,1/1/16,6/30/16,Hong Kong,23,24,9,14,0,61%
2016 H1,1/1/16,6/30/16,Hungary,4,4,2,2,0,50%
2016 H1,1/1/16,6/30/16,India,11,12,2,9,0,82%
2016 H1,1/1/16,6/30/16,Ireland,5,5,2,3,0,60%
2016 H1,1/1/16,6/30/16,Israel,1,1,1,0,0,0%
2016 H1,1/1/16,6/30/16,Italy,45,54,22,17,0,38%
2016 H1,1/1/16,6/30/16,Japan,160,205,72,89,0,56%
2016 H1,1/1/16,6/30/16,Luxembourg,7,10,4,2,0,29%
2016 H1,1/1/16,6/30/16,Macau,4,4,2,2,0,50%
2016 H1,1/1/16,6/30/16,Malta,3,3,0,3,0,100%
2016 H1,1/1/16,6/30/16,Netherlands,10,10,5,4,1,50%
2016 H1,1/1/16,6/30/16,New Zealand,4,5,3,1,0,25%
2016 H1,1/1/16,6/30/16,Norway,6,10,2,3,0,50%
2016 H1,1/1/16,6/30/16,Paraguay,1,1,0,0,0,0%
2016 H1,1/1/16,6/30/16,Poland,5,7,3,1,0,20%
2016 H1,1/1/16,6/30/16,Portugal,5,5,2,2,0,40%
2016 H1,1/1/16,6/30/16,Russia,4,4,3,1,0,25%
2016 H1,1/1/16,6/30/16,Singapore,28,83,6,21,0,75%
2016 H1,1/1/16,6/30/16,Slovenia,1,1,0,1,0,100%
2016 H1,1/1/16,6/30/16,South Korea,23,33,7,9,0,39%
2016 H1,1/1/16,6/30/16,Spain,39,100,13,19,0,49%
2016 H1,1/1/16,6/30/16,Sweden,10,11,2,8,0,80%
2016 H1,1/1/16,6/30/16,Switzerland,2,2,0,2,0,100%
2016 H1,1/1/16,6/30/16,Taiwan,49,52,9,40,0,82%
2016 H1,1/1/16,6/30/16,Turkey,9,9,4,4,0,44%
2016 H1,1/1/16,6/30/16,United Kingdom,271,310,71,181,0,67%
2016 H1,1/1/16,6/30/16,United States of America,1363,9090,134,746,393,84%
2016 H2,7/1/16,12/31/16,Argentina,3,5,0,1,0,33%
2016 H2,7/1/16,12/31/16,Armenia,1,1,0,1,0,100%
2016 H2,7/1/16,12/31/16,Australia,91,108,13,59,0,65%
2016 H2,7/1/16,12/31/16,Austria,3,4,1,1,0,33%
2016 H2,7/1/16,12/31/16,Belgium,4,4,1,2,0,50%
2016 H2,7/1/16,12/31/16,Brazil,56,141,9,10,35,80%
2016 H2,7/1/16,12/31/16,Canada,3,3,1,3,0,100%
2016 H2,7/1/16,12/31/16,Chile,1,1,0,1,0,100%
2016 H2,7/1/16,12/31/16,China,25,5184,1,22,0,88%
2016 H2,7/1/16,12/31/16,Czech Republic,4,4,0,4,0,100%
2016 H2,7/1/16,12/31/16,Denmark,8,8,1,5,0,63%
2016 H2,7/1/16,12/31/16,Dominican Republic,1,1,0,1,0,100%
2016 H2,7/1/16,12/31/16,Estonia,2,2,0,2,0,100%
2016 H2,7/1/16,12/31/16,Finland,1,1,0,0,0,0%
2016 H2,7/1/16,12/31/16,France,70,76,9,41,0,59%
2016 H2,7/1/16,12/31/16,Germany,159,268,19,109,2,70%
2016 H2,7/1/16,12/31/16,Greece,3,3,0,3,0,100%
2016 H2,7/1/16,12/31/16,Hong Kong,8,10,0,5,0,63%
2016 H2,7/1/16,12/31/16,Hungary,3,3,0,3,0,100%
2016 H2,7/1/16,12/31/16,Iceland,1,11,0,1,0,100%
2016 H2,7/1/16,12/31/16,India,18,29,0,16,0,89%
2016 H2,7/1/16,12/31/16,Ireland,2,2,0,1,0,50%
2016 H2,7/1/16,12/31/16,Israel,2,2,0,1,0,50%
2016 H2,7/1/16,12/31/16,Italy,44,53,2,39,0,89%
2016 H2,7/1/16,12/31/16,Japan,115,155,19,88,1,77%
2016 H2,7/1/16,12/31/16,Luxembourg,2,5,1,1,0,50%
2016 H2,7/1/16,12/31/16,Malta,3,3,0,3,0,100%
2016 H2,7/1/16,12/31/16,Netherlands,6,8,0,6,0,100%
2016 H2,7/1/16,12/31/16,New Zealand,4,6,0,3,0,75%
2016 H2,7/1/16,12/31/16,Norway,3,3,1,1,0,33%
2016 H2,7/1/16,12/31/16,Pakistan,1,1,0,1,0,100%
2016 H2,7/1/16,12/31/16,Poland,5,5,0,4,0,80%
2016 H2,7/1/16,12/31/16,Portugal,4,4,0,3,0,75%
2016 H2,7/1/16,12/31/16,Qatar,1,1,1,0,0,0%
2016 H2,7/1/16,12/31/16,Russia,4,5,2,1,0,25%
2016 H2,7/1/16,12/31/16,Singapore,30,31,1,25,0,83%
2016 H2,7/1/16,12/31/16,South Africa,1,1,0,1,0,100%
2016 H2,7/1/16,12/31/16,South Korea,8,28,1,6,0,75%
2016 H2,7/1/16,12/31/16,Spain,20,24,4,11,0,55%
2016 H2,7/1/16,12/31/16,Sweden,18,21,0,14,0,78%
2016 H2,7/1/16,12/31/16,Switzerland,3,4,0,3,0,100%
2016 H2,7/1/16,12/31/16,Taiwan,65,134,3,53,0,82%
2016 H2,7/1/16,12/31/16,Turkey,7,36,2,5,0,71%
2016 H2,7/1/16,12/31/16,United Kingdom,199,220,12,154,0,77%
2016 H2,7/1/16,12/31/16,United States of America,1219,3958,71,636,372,83%
2017 H1,1/1/17,6/30/17,Argentina,3,3,0,2,0,67%
2017 H1,1/1/17,6/30/17,Australia,95,126,32,53,0,56%
2017 H1,1/1/17,6/30/17,Austria,8,24,0,5,0,63%
2017 H1,1/1/17,6/30/17,Belgium,2,2,0,1,0,50%
2017 H1,1/1/17,6/30/17,Brazil,99,269,9,15,63,79%
2017 H1,1/1/17,6/30/17,Canada,18,24,3,13,0,72%
2017 H1,1/1/17,6/30/17,Chile,1,1,0,1,0,100%
2017 H1,1/1/17,6/30/17,China,24,35491,0,23,0,96%
2017 H1,1/1/17,6/30/17,Costa Rica,1,7,0,1,0,100%
2017 H1,1/1/17,6/30/17,Czech Republic,6,7,0,5,0,83%
2017 H1,1/1/17,6/30/17,Denmark,6,6,2,5,0,83%
2017 H1,1/1/17,6/30/17,Dominican Republic,2,3,0,2,0,100%
2017 H1,1/1/17,6/30/17,Estonia,3,3,0,1,0,33%
2017 H1,1/1/17,6/30/17,France,88,101,5,55,1,64%
2017 H1,1/1/17,6/30/17,Germany,223,249,25,159,1,72%
2017 H1,1/1/17,6/30/17,Greece,14,14,0,14,0,100%
2017 H1,1/1/17,6/30/17,Hong Kong,6,7,0,5,0,83%
2017 H1,1/1/17,6/30/17,Hungary,11,13,1,10,0,91%
2017 H1,1/1/17,6/30/17,India,23,23,0,21,0,91%
2017 H1,1/1/17,6/30/17,Ireland,3,3,1,1,0,33%
2017 H1,1/1/17,6/30/17,Italy,53,62,1,40,0,75%
2017 H1,1/1/17,6/30/17,Japan,120,200,17,95,0,79%
2017 H1,1/1/17,6/30/17,Malta,1,1,0,1,0,100%
2017 H1,1/1/17,6/30/17,Mexico,1,1,0,0,0,0%
2017 H1,1/1/17,6/30/17,Netherlands,12,12,2,9,0,75%
2017 H1,1/1/17,6/30/17,New Zealand,1,1,0,1,0,100%
2017 H1,1/1/17,6/30/17,Norway,5,5,2,3,0,60%
2017 H1,1/1/17,6/30/17,Poland,5,5,2,3,0,60%
2017 H1,1/1/17,6/30/17,Portugal,6,6,1,3,0,50%
2017 H1,1/1/17,6/30/17,Russia,11,13,2,6,0,55%
2017 H1,1/1/17,6/30/17,Singapore,21,30,4,14,0,67%
2017 H1,1/1/17,6/30/17,Slovakia,1,1,0,1,0,100%
2017 H1,1/1/17,6/30/17,South Korea,8,8,0,5,0,63%
2017 H1,1/1/17,6/30/17,Spain,29,32,5,18,0,62%
2017 H1,1/1/17,6/30/17,Sweden,17,32,1,13,1,82%
2017 H1,1/1/17,6/30/17,Switzerland,14,18,0,8,0,57%
2017 H1,1/1/17,6/30/17,Taiwan,98,278,1,87,0,89%
2017 H1,1/1/17,6/30/17,Turkey,19,23,0,14,0,74%
2017 H1,1/1/17,6/30/17,United Kingdom,270,325,16,210,1,78%
2017 H1,1/1/17,6/30/17,United States of America,1692,6407,130,879,540,84%
2017 H2,7/1/17,12/31/17,Australia,120,186,28,77,0,64%
2017 H2,7/1/17,12/31/17,Austria,5,9,1,1,0,20%
2017 H2,7/1/17,12/31/17,Belarus,1,1,0,1,0,100%
2017 H2,7/1/17,12/31/17,Belgium,10,13,0,9,0,90%
2017 H2,7/1/17,12/31/17,Brazil,153,680,9,21,108,84%
2017 H2,7/1/17,12/31/17,Canada,9,11,2,7,0,78%
2017 H2,7/1/17,12/31/17,Chile,2,3,0,2,0,100%
2017 H2,7/1/17,12/31/17,China,35,585,1,31,0,89%
2017 H2,7/1/17,12/31/17,Costa Rica,4,4,0,4,0,100%
2017 H2,7/1/17,12/31/17,Czech Republic,2,2,0,0,0,0%
2017 H2,7/1/17,12/31/17,Denmark,4,4,1,3,0,75%
2017 H2,7/1/17,12/31/17,Finland,3,3,0,3,0,100%
2017 H2,7/1/17,12/31/17,France,88,95,6,51,0,58%
2017 H2,7/1/17,12/31/17,Germany,240,280,22,177,1,74%
2017 H2,7/1/17,12/31/17,Greece,4,4,0,4,0,100%
2017 H2,7/1/17,12/31/17,Hong Kong,8,8,0,6,0,75%
2017 H2,7/1/17,12/31/17,Hungary,7,7,0,6,0,86%
2017 H2,7/1/17,12/31/17,India,13,14,1,9,0,69%
2017 H2,7/1/17,12/31/17,Ireland,2,26,0,2,0,100%
2017 H2,7/1/17,12/31/17,Italy,33,36,6,18,0,55%
2017 H2,7/1/17,12/31/17,Japan,172,279,20,129,0,75%
2017 H2,7/1/17,12/31/17,Luxembourg,2,2,0,2,0,100%
2017 H2,7/1/17,12/31/17,Malaysia,1,15,0,1,0,100%
2017 H2,7/1/17,12/31/17,Mexico,1,2,0,0,0,0%
2017 H2,7/1/17,12/31/17,Moldova,1,1,0,1,0,100%
2017 H2,7/1/17,12/31/17,Netherlands,20,22,2,16,0,80%
2017 H2,7/1/17,12/31/17,New Zealand,3,3,2,1,0,33%
2017 H2,7/1/17,12/31/17,Norway,2,2,0,2,0,100%
2017 H2,7/1/17,12/31/17,Pakistan,2,2,1,1,0,50%
2017 H2,7/1/17,12/31/17,Philippines,1,2,0,0,0,0%
2017 H2,7/1/17,12/31/17,Poland,5,5,1,3,0,60%
2017 H2,7/1/17,12/31/17,Portugal,4,7,0,4,0,100%
2017 H2,7/1/17,12/31/17,Qatar,1,1,0,1,0,100%
2017 H2,7/1/17,12/31/17,Russia,8,20,5,1,0,13%
2017 H2,7/1/17,12/31/17,Singapore,18,23,2,16,0,89%
2017 H2,7/1/17,12/31/17,South Korea,12,12,1,12,0,100%
2017 H2,7/1/17,12/31/17,Spain,31,33,4,18,0,58%
2017 H2,7/1/17,12/31/17,Sweden,16,19,1,13,0,81%
2017 H2,7/1/17,12/31/17,Switzerland,17,52,4,13,0,76%
2017 H2,7/1/17,12/31/17,Taiwan,190,422,0,169,0,89%
2017 H2,7/1/17,12/31/17,Turkey,22,34,1,13,0,59%
2017 H2,7/1/17,12/31/17,United Arab Emirates,1,1,0,1,0,100%
2017 H2,7/1/17,12/31/17,United Kingdom,295,364,10,249,0,84%
2017 H2,7/1/17,12/31/17,United States of America,1790,7492,93,943,608,87%
2018 H1,1/1/18,6/30/18,Argentina,2,2,2,0,0,0%
2018 H1,1/1/18,6/30/18,Australia,120,140,35,62,1,53%
2018 H1,1/1/18,6/30/18,Austria,8,18,1,6,0,75%
2018 H1,1/1/18,6/30/18,Belarus,1,110,1,0,0,0%
2018 H1,1/1/18,6/30/18,Belgium,11,19,0,7,0,64%
2018 H1,1/1/18,6/30/18,Brazil,200,980,2,25,150,88%
2018 H1,1/1/18,6/30/18,Canada,15,18,0,12,2,93%
2018 H1,1/1/18,6/30/18,Chile,3,3,1,2,0,67%
2018 H1,1/1/18,6/30/18,China,33,19908,0,32,0,97%
2018 H1,1/1/18,6/30/18,Costa Rica,2,2,0,2,0,100%
2018 H1,1/1/18,6/30/18,Czech Republic,3,3,0,3,0,100%
2018 H1,1/1/18,6/30/18,Denmark,1,1,1,0,0,0%
