Pixel;Row;Correction Value Signed;Correction Value Unsigned
3008;1;4;4
3007;3;4;4
3006;0;4;4
3005;2;4;4
3004;1;4;4
3003;3;4;4
3002;0;4;4
3001;2;4;4
3000;1;4;4
2999;3;4;4
2998;0;4;4
2997;2;4;4
2996;1;4;4
2995;3;4;4
2994;0;4;4
2993;2;4;4
2992;1;4;4
2991;3;4;4
2990;0;4;4
2989;2;4;4
2988;1;4;4
2987;3;4;4
2986;0;4;4
2985;2;4;4
2984;1;4;4
2983;3;4;4
2982;0;4;4
2981;2;4;4
2980;1;4;4
2979;3;4;4
2978;0;4;4
2977;2;4;4
2976;1;4;4
2975;3;4;4
2974;0;4;4
2973;2;4;4
2972;1;4;4
2971;3;4;4
2970;0;4;4
2969;2;4;4
2968;1;4;4
2967;3;4;4
2966;0;4;4
2965;2;4;4
2964;1;4;4
2963;3;4;4
2962;0;4;4
2961;2;4;4
2960;1;4;4
2959;3;4;4
2958;0;4;4
2957;2;4;4
2956;1;4;4
2955;3;4;4
2954;0;4;4
2953;2;4;4
2952;1;4;4
2951;3;4;4
2950;0;4;4
2949;2;4;4
2948;1;4;4
2947;3;4;4
2946;0;4;4
2945;2;4;4
2944;1;4;4
2943;3;4;4
2942;0;4;4
2941;2;4;4
2940;1;4;4
2939;3;4;4
2938;0;4;4
2937;2;4;4
2936;1;4;4
2935;3;4;4
2934;0;4;4
2933;2;4;4
2932;1;4;4
2931;3;4;4
2930;0;4;4
2929;2;4;4
2928;1;4;4
2927;3;4;4
2926;0;4;4
2925;2;4;4
2924;1;4;4
2923;3;4;4
2922;0;4;4
2921;2;4;4
2920;1;4;4
2919;3;4;4
2918;0;4;4
2917;2;4;4
2916;1;4;4
2915;3;4;4
2914;0;4;4
2913;2;4;4
2912;1;4;4
2911;3;4;4
2910;0;4;4
2909;2;4;4
2908;1;4;4
2907;3;4;4
2906;0;4;4
2905;2;4;4
2904;1;4;4
2903;3;4;4
2902;0;4;4
2901;2;4;4
2900;1;4;4
2899;3;4;4
2898;0;4;4
2897;2;4;4
2896;1;4;4
2895;3;4;4
2894;0;4;4
2893;2;4;4
2892;1;4;4
2891;3;4;4
2890;0;4;4
2889;2;4;4
2888;1;4;4
2887;3;4;4
2886;0;4;4
2885;2;4;4
2884;1;4;4
2883;3;4;4
2882;0;4;4
