Pixel;Row;Correction Value Signed;Correction Value Unsigned
2014;0;0;0
2013;1;0;0
2012;2;0;0
2011;3;0;0
2010;0;0;0
2009;1;0;0
2008;2;0;0
2007;3;0;0
2006;0;0;0
2005;1;0;0
2004;2;0;0
2003;3;0;0
2002;0;0;0
2001;1;0;0
2000;2;0;0
1999;3;0;0
1998;0;0;0
1997;1;0;0
1996;2;0;0
1995;3;0;0
1994;0;0;0
1993;1;0;0
1992;2;0;0
1991;3;0;0
1990;0;0;0
1989;1;0;0
1988;2;0;0
1987;3;0;0
1986;0;0;0
1985;1;0;0
1984;2;0;0
1983;3;0;0
1982;0;0;0
1981;1;0;0
1980;2;0;0
1979;3;0;0
1978;0;0;0
1977;1;0;0
1976;2;0;0
1975;3;0;0
1974;0;0;0
1973;1;0;0
1972;2;0;0
1971;3;0;0
1970;0;0;0
1969;1;0;0
1968;2;0;0
1967;3;0;0
1966;0;0;0
1965;1;0;0
1964;2;0;0
1963;3;0;0
1962;0;0;0
1961;1;0;0
1960;2;0;0
1959;3;0;0
1958;0;0;0
1957;1;0;0
1956;2;0;0
1955;3;0;0
1954;0;0;0
1953;1;0;0
1952;2;0;0
1951;3;0;0
1950;0;0;0
1949;1;0;0
1948;2;0;0
1947;3;0;0
1946;0;0;0
1945;1;0;0
1944;2;0;0
1943;3;0;0
1942;0;0;0
1941;1;0;0
1940;2;0;0
1939;3;-1;255
1938;0;1;1
1937;1;0;0
1936;2;0;0
1935;3;-1;255
1934;0;1;1
1933;1;0;0
1932;2;0;0
1931;3;-1;255
1930;0;1;1
1929;1;0;0
1928;2;0;0
1927;3;-1;255
1926;0;1;1
1925;1;0;0
1924;2;0;0
1923;3;-1;255
1922;0;1;1
1921;1;0;0
1920;2;0;0
1919;3;-1;255
1918;0;1;1
1917;1;0;0
1916;2;0;0
1915;3;-1;255
1914;0;1;1
1913;1;0;0
1912;2;0;0
1911;3;-1;255
1910;0;1;1
1909;1;0;0
1908;2;0;0
1907;3;-1;255
1906;0;1;1
1905;1;0;0
1904;2;0;0
1903;3;-1;255
1902;0;1;1
1901;1;0;0
1900;2;0;0
1899;3;-1;255
1898;0;1;1
1897;1;0;0
1896;2;0;0
1895;3;-1;255
1894;0;1;1
1893;1;0;0
1892;2;0;0
1891;3;-1;255
1890;0;1;1
1889;1;0;0
1888;2;0;0
1887;3;-1;255
1886;0;1;1
1885;1;0;0
1884;2;0;0
1883;3;-1;255
1882;0;1;1
1881;1;0;0
1880;2;0;0
1879;3;-1;255
1878;0;1;1
1877;1;0;0
1876;2;0;0
1875;3;-1;255
1874;0;1;1
1873;1;0;0
1872;2;0;0
1871;3;-1;255
1870;0;1;1
1869;1;0;0
1868;2;0;0
1867;3;-1;255
1866;0;1;1
1865;1;0;0
1864;2;0;0
1863;3;-1;255
1862;0;1;1
1861;1;0;0
1860;2;0;0
1859;3;-1;255
1858;0;1;1
1857;1;0;0
1856;2;0;0
1855;3;-1;255
1854;0;1;1
1853;1;0;0
1852;2;0;0
1851;3;-1;255
1850;0;1;1
1849;1;0;0
1848;2;0;0
1847;3;-1;255
1846;0;1;1
1845;1;0;0
1844;2;0;0
1843;3;-1;255
1842;0;1;1
1841;1;0;0
1840;2;0;0
1839;3;-1;255
1838;0;1;1
1837;1;0;0
1836;2;0;0
1835;3;-1;255
1834;0;1;1
1833;1;1;1
1832;2;-1;255
1831;3;-1;255
1830;0;1;1
1829;1;1;1
1828;2;-1;255
1827;3;-1;255
1826;0;1;1
1825;1;1;1
1824;2;-1;255
1823;3;-1;255
1822;0;1;1
1821;1;1;1
1820;2;-1;255
1819;3;-1;255
1818;0;1;1
1817;1;1;1
1816;2;-1;255
1815;3;-1;255
1814;0;1;1
1813;1;1;1
1812;2;-1;255
1811;3;-1;255
1810;0;1;1
1809;1;1;1
1808;2;-1;255
1807;3;-1;255
1806;0;1;1
1805;1;1;1
1804;2;-1;255
1803;3;-1;255
1802;0;2;2
1801;1;1;1
1800;2;-1;255
1799;3;-2;254
1798;0;2;2
1797;1;1;1
1796;2;-1;255
1795;3;-2;254
1794;0;2;2
1793;1;1;1
1792;2;-1;255
1791;3;-2;254
1790;0;2;2
1789;1;1;1
1788;2;-1;255
1787;3;-2;254
1786;0;2;2
1785;1;1;1
1784;2;-1;255
1783;3;-2;254
1782;0;2;2
1781;1;1;1
1780;2;-1;255
1779;3;-2;254
1778;0;2;2
1777;1;1;1
1776;2;-1;255
